Title,Comments
"Michael Hawley, co-author of famous Steve Jobs speech, dies - 9to5Mac",I'm sure his family cares.
IoT data collection dashboard,"The solutions (and cost) vary greatly based on number of data points stored and types of computation. 

For example for my home, I connected my SmartThings hub to InfluxDB running on a docker container, then using Grafana to display graphs (also running on same docker node). 
This works well for a few hundred points a minute. Make sure you work on your retention. 


And one of my clients generated over 2M messages a second, and let's say, the solution is very different. 

I purposefully selected two extremes, and not require a bit of elbow grease. 

Don't hesitate to message me if you want more information, I can help or point you in the right direction with the time I have available. 


I guess, if you are willing to patch some open source projects together and if it is for a small scale (100 msgs/minute). 

If you have a bit of budget, you can either look at a hosted Elasticsearch with Kibana, or look at either AWS, Azure or Google cloud solutions. 

Anyways, feel free to message me if you have questions."
IoT data collection dashboard,Build one with node-red
IoT data collection dashboard,Try https://grandeur.tech they they have a free tier and pay as you go model. As a Developer I found it way better than Particle and Google IoT core.
IoT data collection dashboard,"Use an [AWS IoT rule](https://docs.aws.amazon.com/iot/latest/developerguide/iot-rules.html) to route the incoming json to [Elasticsearch](https://www.elastic.co/blog/industrial-internet-of-things-iiot-with-the-elastic-stack) (either the AWS managed version, which I'd probably recommend if you don't have ELK experience or self-managed EC2 machines). Visualize this data using [Kibana](https://www.elastic.co/kibana)."
IoT data collection dashboard,"There is a lot of iot platform available on the market but most of them are expensive for personal projects. I would recommend nodered+influxdb+grafana.
Tutorial bellow is really useful.
 https://youtu.be/JdV4x925au0

I get data from lorawan sensors on a private network and display them on grafana. Everything is running on RPI."
IoT data collection dashboard,"Hi,

Here is T6-iot, an alternative that seems to suit your needs:
https://api.internetcollaboratif.info

not sure it's a good alternative, but might be useful for you.

Cheers."
IoT data collection dashboard,A quick solution is to use IFTTT to store data in a Google Sheet. Then you can view the data as graphs in Sheets. Not the JSON solution you were looking for but maybe interesting to keep things simple.
IoT data collection dashboard,Thingsboard has a community version.
IoT data collection dashboard,"Check out [Losant](https://www.losant.com). They have a free developer sandbox for 10 devices and 1MM payloads per month. All data is reported as JSON. The [Dashboards](https://docs.losant.com/dashboards/overview/) are easy to use.

Disclaimer: I work there."
IoT data collection dashboard,"Your best shot at it is using grafana as your front end. For data storage you can use any sql or no sql databases, time series database like influx. And use node red to streamline the process of handling all the data requests. You can also find a lot of stuff online for such an implementation."
Best sensor for detecting crossing a line [COVID],I don't understand the problem: can't you just buy a sensor that's rated for outdoor environments?
What is Cellular IoT and Who is it For?,"What comes to mind for me is like monitoring and controlling say an OT process in a factory with your mobile device, say through an app. Could be totally wrong though and they intend it differently. I read the articles but they seem more focused on communications aspect than the processes being communicated with for control."
What is Cellular IoT and Who is it For?,"\- its a new marketing buzzword attached to a pretty old product.  
\- its for everyone whos been using it for the last 30 years, and apparently also idiots who love marketing buzzwords"
What is Cellular IoT and Who is it For?,"We've built controllers for some machines that are in areas without Ethernet or WiFi so we have to use cell modems to get data out to the servers. That's what cellular IoT means to me, anyway."
Any smart plug or relay with Cloud Http API?,"TP Link has an unofficial api, seems to work good, not documented, Merros was busy with an API a few years back or so, don't know the current status"
Any smart plug or relay with Cloud Http API?,"Not self made... and not ready to use, but Shelly devices have an API"
Any smart plug or relay with Cloud Http API?,"Have a look at the [Tasmota](https://tasmota.github.io/docs/) firmware. It works on lots of [devices](https://templates.blakadder.com/), but you have to flash the devices or buy from a company that sells devices that are already flashed, e.g. [this one](https://creationx.shop/sonoff/tasmota-firmware). 

Tasmota has a local HTTP API, so you can directly use it without the server of some company."
How to incorporate creating of a server and graphing of a sensor data in a C program?,"Not sure I understand exactly what you are asking... but MQTT protocol is popular for transporting sensor data in applications like this. I am not sure what library is best for use with your hardware, but examples are [paho mqtt library](https://github.com/eclipse/paho.mqtt.c) or the [embedded version](https://github.com/eclipse/paho.mqtt.embedded-c) (low activity - may be abandoned)

For the RPi side you have a lot of options, [mainflux](https://github.com/mainflux/mainflux) would be my suggestion if you're looking for a ""proper"" setup to grow in the future. However the admin panel/graphing stuff is not a turnkey solution and will need development ([repo link](https://github.com/mainflux/ui) - it's also based on angular, ugh). There is also [thingsboard](https://github.com/thingsboard/thingsboard) but it's a giant java codebase, I wouldn't suggest trying it on an RPi...

If you're looking for a simple solution just to generate some bitmaps, I would suggest looking into [rrdtool](https://oss.oetiker.ch/rrdtool/)"
Best IoT platform for Smart Home devices and mobile app integration,"Well... AWS IoT is a good start

* AWS IoT Core - MQTT for your smart devices.
* Includes FreeRTOS + Device SDK that helps with the embedded development but also includes the mobile SDK to help with device pairing etc. + also has MQTT over BLE support to save developer time.
* The API Gateway along with Cognito will generate SDKs based on your API definition and security requirements and these can be dropped into mobile app tools so for iOS and Android.
* You could also use AWS Amplify to rapidly build your mobile apps and it has integration back to IoT Core so easy to send/receive device data.

All the tools are there and are all consumption based so it costs you nothing if there is no data moving around and has massive scale."
Best IoT platform for Smart Home devices and mobile app integration,Check out Blynk https://www.blynk.io I’d say it’s your best bet
Best IoT platform for Smart Home devices and mobile app integration,"Anything industrial is probably on premises (the server is in the plant LAN behind the layer 2 firewall). Hard to use cloud in industrial plants because of cybersecurity concerns. Sensors cannot be connected to the internet according to ISA99. 

Thingsboard is a pretty good platform but it costs a lot of money for the on premises version. Grafana is good if you just want to monitor things...but you need a database to hook it too... I recommend just building a simple MQTT pub/sub script in nodejs that connects to mosquito and puts your data into influxdb."
Best IoT platform for Smart Home devices and mobile app integration,"If you're after an edge computing solution, you may want to consider Node-RED ([https://nodered.org/](https://nodered.org/)) for an open-source solution, OR, Gravio ([gravio.com](https://gravio.com)) which is commercial. I have used both."
Best IoT platform for Smart Home devices and mobile app integration,"Have a look at [Truphone](https://www.truphone.com/things/). They provide connectivity in multiple countries as well as a portal and APIs to manage SIMs, connectivities and send commands to the devices using SMSs (among other features)."
"This is an iot based smart energy meter that I made it can monitor power, current, watt hour and unit energy consumed by the device connected to it and monitor it via blynk app from all over the world",I would like to build something similar. What do you need in order to build something like this?
"This is an iot based smart energy meter that I made it can monitor power, current, watt hour and unit energy consumed by the device connected to it and monitor it via blynk app from all over the world",Great idea but can't use it for homes cause Government gets suspicious and may even file a case on you for tinkering with their meters
iotcplatform.com down?,"I have a guardzilla internet camera that is doing the same thing. A chinese 3rd party service just folded, is my guess. The cam still seems to work though? Granted, I don't use the cloud recording"
"Does a 6"" - 1 foot range NFC tag exist?",Near-ish Field Communication
