Title,Comments
How to reduce the cellular network data usage of an IoT device?,"Let IoT device upload the data to the cloud service every specified interval and the end user only to access the cloud over internet instead of IoT device directly.
Look into reducing packet size as well. Can you encode some static data to less bits?"
How to reduce the cellular network data usage of an IoT device?,"Which version of MQTT?

&#x200B;

MQTT 5 may help"
How to reduce the cellular network data usage of an IoT device?,"I’m wondering why your keep-alive is so short, what are you gaining by setting the keep-alive to 30s?"
How to reduce the cellular network data usage of an IoT device?,"Cache and push at less regular intervals, compress the data you are pushing and finally consider changing the things you currently say you can't change using a different network protocol."
How to reduce the cellular network data usage of an IoT device?,Also a little more detail about the device and application would help
How to reduce the cellular network data usage of an IoT device?,"If you’re constrained to cellular (IP) data, then the device is most-likely behind a NAT, so the only way to respond to real-time requests is to poll. Therefore you need to pick a protocol that minimises bandwidth usage and pick a polling period that balances response time vs bandwidth, which it looks like you’ve already optimised. 

However, have you considered routing the real-time user requests via SMS or even a call? That would remove the need to poll over IP. When the device gets an SMS message or call that could trigger a real-time response."
How to reduce the cellular network data usage of an IoT device?,"You should check if you can reduce the amount of data in your messages. Make sure you don't send any whitespace. If you are sending a xml or json, chances are you are using long names for properties. You can change them to single letters. If mac addresses are part of the data, you could strip any semicolons. Etc. And then compress it."
How to reduce the cellular network data usage of an IoT device?,Data Compression
Are there humidity sensors with less than 1% precision?,"I'm using cheap DHT22 sensors which have (according to [this site](http://www.kandrsmith.org/RJS/Misc/Hygrometers/calib_dht22.html)):

    Absolute accuracy 	±2%
    Repeatability 	±1%
    Long term stability 	±0.5% per year

But their output has still 0.1% precision, because sometimes it's nice to know if/when the humidity changes from 40.1% to 40.2%, even if the absolute numbers might be ±2% off. So I think you should store it as a float or if you absolutely must save some bytes you can multiply the numbers by 10 and store them in an uint16_t (and then remember to divide the numbers by 10 when you use them)."
Are there humidity sensors with less than 1% precision?,"When in doubt, use a double :-) . They're the cheap-and-cheerful way to store numbers with more precision than you're ever likely to need."
Using Lora 868Mhz in NA,"I believe the tuner should be configurable and you should be able to type in the frequency you want.

To answer your question more directly, only if you start annoying people with your transmitter. 868 appears to be a mobile band so you might mess up someone's call if you did it too much."
Roadmap to learn IOT? Advice needed.,"I learnt IoT from scratch (software developer but unrelated field). I started from wikipedia's article on IoT, and went down the rabbit hole of links, building a mind map of products, concepts, technologies. IoT has a learning curve but unless you want to dig deep into hardware aspects, it is not that bad."
Roadmap to learn IOT? Advice needed.,Are you trying to work for a company's IOT division or make your own product?
Roadmap to learn IOT? Advice needed.,As u/bad_username said I too started from Wiki and later gone through articles on how IoT is changing the world & future... the more I read the more I addicted to it. Presently I'm working of a Company \[x\]cube LABS providing IoT services & solutions. It is helping me to learn more in depth of IoT and the ways it is used by different enterprises in their business.
Roadmap to learn IOT? Advice needed.,"Start with a project, eg. https://github.com/gambitcomminc/electric-meter-monitoring"
Roadmap to learn IOT? Advice needed.,"The two most popular protocols in iot are HTTP (REST is the architectural style) and MQTT. You probably know already REST APIs and you probably built some. Look also to MQTT, try out a mosquitto tutorial on your linux and you will love the MQTT protocol!"
Roadmap to learn IOT? Advice needed.,Which os do u have?
Roadmap to learn IOT? Advice needed.,Should I start by buying an Arduino? Or a Raspberry is a better option?
Roadmap to learn IOT? Advice needed.,"Without any prior experience, I bought an Arduino Uno with an NB-IoT shield. This one: [https://www.dragino.com/products/nb-iot/item/130-nb-iot-shield.html](https://www.dragino.com/products/nb-iot/item/130-nb-iot-shield.html)

So this classifies as LPWAN (low power wide area network. Mobile internet access on your phone or anything done on a Raspberry Pi wouldn't qualify as low power). And NB-IoT has more range than LTE-M. So it really is something new. Accessing Wifi with a Pi isn't special enough to be labeled as IoT in my opinion.

T-Mobile offers free sim cards to developers to play around with for a year. There may be something similar available for your area.

My programming experience was limited to web related stuff as well. Programming c was new. I started to play with it and now I can send json messages from the device to a backend of my own choosing (Google Apps Script). And I can send messages from the cloud to the device. So I have a proven basis to develop some very interesting projects upon. For under 40 bucks.

The company I work for (not a tech job) is serious about IoT and now think I am a guru."
Roadmap to learn IOT? Advice needed.,"Iot is just running your Web Server /Applications / or whatever on a raspberry pi for example....instead of running them on a bigger Server. Iot is nothing special. Buy a raspberry pi, if you want, buy a wemos d1 mini which has a wifi module, buy a sensor toolkit...which includes some jumper cables, a temperature Sensor, some other sensors, and you are an iot Expert."
Let's chat about IoT !,"Nice idea ! I'm currently doing Smart Cities and Smart Building with LoRa.

I think the ""professional"" IoT is still pretty new and we faced a lot of problems finding the right sensors for our project. Some of the sensors are just prototypes tbh.

Bonus : I would love to be given (JS/C#/Java ?) decoders when I buy a product, it would save me a lot of time. The decoding is easy for a parking sensor, but when you work with public lighting sensors for example you have to put a lot of time creating a library to decode the packets."
Let's chat about IoT !,"Given the dismal success rate of IoT, we try to help to make it successful with affordable IOT simulation: https://www.gambitcomm.com/site/successful_iot.php"
IoT Survey,Done.
Retrofit solution to turn dumb devices smart,What looks amazing about it? Details are slim on the site I saw. Just use Sonoff or Shelly instead.
Retrofit solution to turn dumb devices smart,"They would be using a cloud for this. This is what I understand from it.
When you turn on a switch, you appliance turns on and the microcontroller in their kit is sends the update to the cloud, which you can see on your app in realtime.
When you switch it off from your app, the update first goes to the cloud and then the cloud pushes the update to your switchboard's kit, which turns your appliance off.

In all of this, your data is passing through their cloud, and may even be stored. They would have the data of how you use your appliances, and from that they can extracts your sleeping patters, which room is on at a time and whatnot. While their product is awesome, their website has no info about privacy and security at all. Their is no agreement like the one you see when you install, or sign up for a new app on your phone, which tells you how the makers of the app are going to use your data."
Retrofit solution to turn dumb devices smart,Ive not heard of this company before. Their website is sparse on information. IOT is a very security and privacy sensitive context. I personally wouldn’t touch it unless I had a strong recommendation from a trusted friend that made me overlook the misgivings of their website. I’d rather just DIY the retrofit.
Looking to add wireless fare sensor and status light,"I use some magnetic contact sensors (like what is used for most home alarm systems on windows and doors) for my outbuilding doors. I hook them up to some Arduino's of various types to send out status messages via MQTT.  Inside my house I have a display that Subscribes to the ""door/"" Topics to show the current statuses.  Everything uses WiFi (and I have a Ethernet cable between the buildings to connect them.)  The MQTT Broker sits on my Docker computer. Whole thing works like a champ."
Looking to add wireless fare sensor and status light,"This isn't a very sexy solution but it sounds like you may not need one.

Check out Skylink Long Range Household Alert products  (e.g., on Amazon). I use their garage door sensor setup for 2 garage doors. Had them for many years.

Perhaps you could use something like WD-434RTL if the door sensor would work for you."
IoT projects for climate change,"Hi, do you have specific themes in mind? Both IOT and Climate Change are really broad terms. 
You could have simple temperature and humidity sensors that plot weather data over time (so that’s weather and not climate) - and you could have environmental sensors that sense COx,NOx,Ox etc - but you’ll need really long term data for it to be considered for climate change. 
You could consider other indirect aspects of climate change like tracking movement of marine life - and how it changes over time. 

I think it might be important to first scope your project, and then determine how you would like to use IoT within that scope."
IoT projects for climate change,I would suggest looking into blue city
IoT projects for climate change,I have read an interesting article about monitoring of forests temperature.
Recommendation of AWS development kit hardware (below USD $120) with no extra cost,"esp8266 and esp32 are open source development boards and are really low cost. While proper development kits are simple to begin with, these low end modules are what come really handy in simple practical applications.
esp8266 costs about $3 while esp32 is about $4."
Recommendation of AWS development kit hardware (below USD $120) with no extra cost,What about ESP32?
Recommendation of AWS development kit hardware (below USD $120) with no extra cost,"Oh, never mind. I found that there is GCC RX for Renesas, which is free, but with a limited library support.

Anyway, I found that I can use Arduino Yun, on MKR1000 board.

Also, Raspberry can be connected to AWS IoT too.

[https://create.arduino.cc/projecthub/wolkabout-writer/arduino-environmental-monitoring-a51e9d](https://create.arduino.cc/projecthub/wolkabout-writer/arduino-environmental-monitoring-a51e9d)"
Recommendation of AWS development kit hardware (below USD $120) with no extra cost,"Get started on AWS IoT in minutes, not hours or days, at

https://mqttlab.iotsim.io/aws

for a couple of bucks, then spend less time fiddling with your H/W."
Recommendation of AWS development kit hardware (below USD $120) with no extra cost,"I would just advise against the Renesas product I watched a tutorial and it seems like it would be good to actually DEMO an IoT application it seems like they do the mean and potatoes for you, which is honestly what you should be learning (the medium to connect any device to some endpoint). It seems like you are pre-purchasing a already integrated device into Renesas cloud where they give you very basic IAM access to some diagnostics on the cloud side but you will not learn much of anything."
"[RESOURCES] Books, Magazines, Websites for Smart/IOT Gardening (Arduino, RasPi)",FarmBot:  https://www.cbc.ca/news/technology/farmbot-garden-1.3704215
"[RESOURCES] Books, Magazines, Websites for Smart/IOT Gardening (Arduino, RasPi)","I have an aerogarden for indoor gardening.  Grow lettuce / herbs / tomatoes and peppers.   If I were to do it again I’d go more DIY hydroponic, have the pi control pump & lights via relays, use plastic buckets for extra water jugs and PVC pipe with hole cut into top to hold plants."
IoT question for newbie,I got a raspberry pi and tinkered with python but i learned about windows iot and that you could write c#.  MS has a series in YouTube for Windows iot using the pi. I might want to get a job in iot someday so personally i think it's a good platform as an alternative to Google or Amazon.
IoT question for newbie,"see this..

https://www.iotforall.com/what-is-an-iot-platform/amp/"
IoT question for newbie,"I think if you're trying to develop IoT devices, right now I think AWS provides the most complete tools. They have free online classes. I highly recommend you start there. You also have a free account that you can use."
IoT question for newbie,"Hey. Why don't you have a look at Grandeur Cloud.

https://grandeur.tech/

Patforms like AWS, Azure and Google Cloud Platform work by mixing and matching several of their services together to get with your kind of solution. Which I'm not really a good fan of. You should focus on your IoT hardware instead of figuring out the web and networking of your product. Just have a look. There's also a very good free tier which you won't easily consume completely. This may be very helpful to you."
IoT question for newbie,"uC/OS-III is free for developers, you can give a try."
How to generate Authorization Tokens for Voice Assistants?,"It must be an identity bind between you and Voice Assistants and also server know it, and Voice Assistants must get an Authorization Token which offered by server. You should design a flow for Voice Assistants firstly: register, get token..."
Hiring anyone who can write up an IoT How To Guide.,"Hey, I'm interested for this work."
Cool gaming-related projects that involve IoT?,One thing to clarify. What is the reasoning behind keeping the database on the Pi? IMHO data storage belongs to cloud services and you can connect your raspberry as terminal device feeding the database with data from bunch of sensors.
When you IOT and your office is also your gym,"Do you live at altitude? Your normal indoor humidity is crazy low, well outside the comfortable region."
