Title,Comments
Adding voice control to any coffee pot is extremely easy!,Couldn't you just plug it into an internet controlled outlet switch? They have external inline switches or power strips for example that would produce the same result and be much simpler...
Tried using basic CV and IOT to creat this sweet system. It waits for the user to smile and proceeds by opening the door. Views?,Nice
Tried using basic CV and IOT to creat this sweet system. It waits for the user to smile and proceeds by opening the door. Views?,:D good job!
Tried using basic CV and IOT to creat this sweet system. It waits for the user to smile and proceeds by opening the door. Views?,Wow that's great!
Tried using basic CV and IOT to creat this sweet system. It waits for the user to smile and proceeds by opening the door. Views?,Happy home.
"Ring, Nest, SimpliSafe and eight other manufacturers of internet-connected doorbell and security cameras have been alerted to ""systemic design flaws"" discovered by Florida Tech computer science student Blake Janes.",.. science student Blake Janes that allows a shared account that appears to have been removed to actually remain in place with continued access to the video feed.
"Ring, Nest, SimpliSafe and eight other manufacturers of internet-connected doorbell and security cameras have been alerted to ""systemic design flaws"" discovered by Florida Tech computer science student Blake Janes.","Tech reporting was barely coherent. Here’s the quote from the actual paper about the vulnerability:

> To illustrate this problem, researchers found that Ring doorbells failed to enforce a proper authentication scheme for multiple users that shared a single account [5]. They discovered that when a device owner changed the password, Ring did not immediately force other users to re-authenticate. Instead, users with a current session could remain connected indefinitely without having to enter the new credentials."
How to make your own internet connected t-shirt with LEDs that respond to realtime data,I am a fairly big geek but if i'd see anyone wearing this in public i would instantly feel like a big-muscle-chad standing next to the biggest weirdo i've ever seen
How to make your own internet connected t-shirt with LEDs that respond to realtime data,so cool!
How to make your own internet connected t-shirt with LEDs that respond to realtime data,Hey this is pretty cool.  I could see a highschool robotics team using something like this for their team jerseys.
When you’re quarantined and you discover your radiators have an API,Are you using Nest?
When you’re quarantined and you discover your radiators have an API,Cool
Raspberry Pi 4 Official USB SSD Boot (2020),"Thanks!
Any information on the performance of a ~10 USD usb flashdrive (like the ones you linked) vs a SD card at similar pricepoint?

Edit: This is the best I have found so far, but it only has data for a pretty expensive usb ssd. https://www.jeffgeerling.com/blog/2019/raspberry-pi-microsd-card-performance-comparison-2019


https://www.bjorseth.no/blog/2019/08/media-speed-with-the-raspberry-pi-4-model-b/ concludes that usb flashdrives are about 3-4 times faster than the tested SD card, but the tested usb flashdrives cost 20-25 USD. This test does not have any data on write speeds."
