Title,Comments
Build yourself a weather station using ESP32,"Sorry but this is far off from a weather station. I was actually looking forward to seeing an anemometer, a rain sensor, a light sensor, air quality sensor, etc... Maybe I was expecting too much :))"
Weather data,nice
Weather data,"You can fetch the data from weather forecasting websites that offer their API either for free or as a subscription.


Something like this:


https://openweathermap.org/api"
Weather data,Checkout rapidAPI and also maybe collect data from a number API's to help validate
Question: Can I get a google home assistant to ping a local webserver?,"This looks like what you need to do what you want to accomplish:
https://github.com/actions-on-google/smart-home-local"
Need iot solution :,"That's rather privacy invasive. That's simply not allowed in Europe. Damn, where is this? China? Do people really give their consent to this when come to study there?"
Need iot solution :,I suspect the social issues will far outweigh the IoT ones. Plenty of asset tracking software and hardware solutions out there. The questions will be around trust and security.  You give each student a Tag.. and somehow magically they all accept it.  What about when they leave the campus?  Perhaps they still have it and can be tracked?
Need iot solution :,"I would say it can't be done without the active cooperation of the students.  They would have to carry a device which would require charging at regular intervals, and would require them to not put the device in some sort of defeat device like a Faraday cage.  Unless you are in China, this will not go down well with students of today.  Actually, it would probably not go down well in China either, but they may well have no choice."
Need iot solution :,Are you referring to a contact tracing solution?
Need iot solution :,"To clarify; do you need to identify the students, or do you need the flow without necessarily identifying them?

Edit; found the answer in the comments. You need to identify."
Need iot solution :,https://purpleblob.net/
Need iot solution :,There are a number of Chinese companies providing this technology via video cameras. Unfortunately for you they are on the US entity list now and its a felony to buy their solution.
Need iot solution :,"You can use a combination of LoRaWAN, GPS, and WiFi positioning to do this fairly cheaply and with reasonable accuracy. Obviously this would require students to carry a small device and keep it charged but could potentially become a dual purpose 'id badge' or something.

Check out this technology/project as a starting point: [https://hackaday.io/project/171223-lr1110-module-tiny-lora-wifignss-positioning](https://hackaday.io/project/171223-lr1110-module-tiny-lora-wifignss-positioning)

If you needed a more polished, integrated solution developed feel free to DM me."
Need iot solution :,"Hi, I think one of the safest options considering privacy issues, would be the use of RFID. Place RFID readers at strategic points in the school, and then you can infer the location of students based on their last RFID check-in. Other options such as BLE/GPS will infringe on their privacy rights; although GPS would not work well indoors anyways."
Need iot solution :,[removed]
Need iot solution :,"The cheapest solution would require the students to take some kind of action like pressing a button when they enter or exit an area. You could consider some kind of reward system to motivate them. But it would probably be unreliable. 

Your actual use case would determine how reliable “location registration” needs to be. 

Any automated system would need the students to carry something around with them like an RF-ID tag. 

In both cases you have one or more sensors in each area that communicate with a central server.   

Each student has an unique ID that the room sensor uses to call either a register or deregister function on the server. The server stores the info in a database and serves a webpage where you can search by student or show a map, etc. 

There are privacy concerns to consider before the technology. It may turn out no one would accept the privacy terms, making the idea a non-starter. 

Sound like an interesting project though. Good luck!"
Need iot solution :,"Here in Norway it is very common to have employees issued an ID card with embedded RFID and mag strip. In order to open any of the doors in your office you need the card.

If I was tasked with the requirements outlined by the OP (not debating if it’s legal, ethical or desirable) I would issue a card to all students (they probably already have one?..) and place readers at all doors, entrances, exits common areas etc.  

You need food in the cafeteria - swipe
You need a book - swipe
Enter a classroom - swipe
Etc.

Use some algorithms to sort out last approximate position."
Need iot solution :,"what do you mean by monitor the students? do you mean location tracking? Also, what level or precision do they require."
Need iot solution :,You need LoRa + GPS
How do I set up LoRaWAN between ESP32 and Dragino 433Mhz gateway?,"I'm not sure what your question is, but can't you just grab an MQTT client library for the ESP32 and use it in the example sketch for the gateway?"
How do I set up LoRaWAN between ESP32 and Dragino 433Mhz gateway?,"Your Dragino LG01-P gateway(https://www.dragino.com/downloads/downloads/LoRa\_IoT\_Kit/v2-Kit/Single%20Channel%20LoRa%20IoT%20Kit%20v2%20User%20Manual\_v1.0.1.pdf) is a single-channel LoRAWAN device....but your ESP32 RHF76-052(https://docs.m5stack.com/#/en/module/lorawan) seems to be regular multi-channel LoRAWAN. I suspect that is the root of your connectivity issues.  Either get the RHF76 to just use one channel, or better yet, replace the Dragino with a normal LoRAWAN Gateway that supports the full LoRAWAN spec."
